id,timestamp,cpu_percent,ram_percent,disk_percent,net_sent_mb,net_recv_mb,thread_count,process_count,network_latency_ms,context_switches,cache_miss_rate,temperature,power_consumption,uptime,anomaly_label
78,2025-06-01T00:06:25,12.0,49.8,42.6,39.29,98.05,104,52,52.84,248,0.1351,60.2,63.45,722.63,0
79,2025-06-01T00:06:30,39.1,15.1,79.1,39.77,99.49,1140,570,80.83,941,0.045,81.1,169.51,730.93,0
80,2025-06-01T00:06:35,16.0,98.1,42.5,39.69,99.91,2276,569,67.19,954,0.0514,43.3,287.99,373.98,0
81,2025-06-01T00:06:40,87.0,63.0,70.3,40.85,102.79,1710,570,161.02,318,0.0429,35.4,184.52,994.52,0
82,2025-06-01T00:06:45,64.2,60.1,51.7,41.89,104.15,4685,937,184.93,282,0.1632,31.2,152.7,691.77,0
83,2025-06-01T00:06:50,36.4,69.0,25.6,42.88,106.53,2250,450,152.15,615,0.0361,36.7,51.47,894.6,0
84,2025-06-01T00:06:55,11.0,54.7,80.0,42.92,108.02,2852,713,88.38,669,0.0239,47.8,113.98,47.27,0
85,2025-06-01T00:07:00,34.5,12.9,10.3,43.37,109.0,2812,703,101.36,297,0.017,56.6,157.12,623.95,0
86,2025-06-01T00:07:05,35.9,65.1,53.4,43.56,109.2,3996,999,25.89,1497,0.0176,68.6,144.36,749.78,0
87,2025-06-01T00:07:10,74.3,74.5,22.5,44.59,110.72,1794,897,149.63,1566,0.1139,43.0,159.74,797.55,0
88,2025-06-01T00:07:15,65.6,47.5,8.6,45.07,112.1,1292,323,119.7,1149,0.0279,47.5,55.91,672.73,0
89,2025-06-01T00:07:20,89.3,78.2,51.3,45.8,115.0,2605,521,180.59,557,0.0523,75.4,182.81,606.32,0
90,2025-06-01T00:07:25,49.9,30.4,51.0,46.21,115.73,2952,984,40.92,212,0.1682,89.1,112.84,746.38,0
91,2025-06-01T00:07:30,16.4,29.9,71.3,46.89,117.05,2105,421,152.19,808,0.1939,38.8,150.15,39.49,0
92,2025-06-01T00:07:35,72.8,24.5,75.0,47.75,118.56,1920,480,137.25,1352,0.1736,60.7,271.6,751.59,0
93,2025-06-01T00:07:40,77.3,43.5,73.3,47.69,118.83,2940,588,53.9,459,0.1923,49.2,257.03,330.27,0
94,2025-06-01T00:07:45,58.3,86.2,42.1,48.43,120.95,794,397,133.81,1508,0.1374,64.3,149.49,761.27,0
95,2025-06-01T00:07:50,78.2,84.5,63.9,49.34,123.52,600,120,184.95,1564,0.1976,37.7,63.51,777.3,0
96,2025-06-01T00:07:55,51.9,44.5,58.5,50.05,126.33,1062,531,183.77,1221,0.1043,47.6,272.22,277.31,0
97,2025-06-01T00:08:00,54.7,63.0,43.3,51.12,127.86,2340,780,144.21,1427,0.161,76.1,149.75,715.46,0
98,2025-06-01T00:08:05,45.6,74.9,60.5,51.17,127.88,3404,851,10.57,811,0.1946,83.3,169.89,329.6,0
99,2025-06-01T00:08:10,7.4,31.7,94.8,51.99,129.85,915,305,174.58,1144,0.1448,70.4,71.42,725.04,0
100,2025-06-01T00:08:15,15.2,25.1,20.9,52.6,131.44,608,152,131.9,1026,0.1918,91.4,223.14,190.67,0
101,2025-06-01T00:08:20,8.0,97.5,90.8,52.68,132.83,588,196,62.78,1821,0.0582,72.4,228.03,78.59,0
102,2025-06-01T00:08:25,65.5,65.6,7.2,53.07,132.94,2853,951,38.26,274,0.0671,78.5,152.17,588.65,0
103,2025-06-01T00:08:30,34.9,98.3,32.2,53.2,132.55,2157,719,24.12,378,0.0855,53.2,272.22,193.88,0
104,2025-06-01T00:08:35,53.3,40.4,30.2,53.17,133.12,1818,909,11.0,307,0.0983,41.0,62.16,894.75,0
105,2025-06-01T00:08:40,91.2,73.3,63.4,54.05,134.95,378,189,151.07,1726,0.1805,72.8,126.89,159.13,0
106,2025-06-01T00:08:45,28.7,30.0,14.9,54.4,135.64,3520,704,47.93,874,0.1787,89.7,101.71,607.45,0
107,2025-06-01T00:08:50,44.0,33.5,88.5,54.73,136.05,3350,670,5.83,1507,0.135,93.8,224.48,697.5,0
108,2025-06-01T00:08:55,76.8,56.1,83.2,54.79,136.85,2360,472,80.06,404,0.0541,59.3,101.17,3.53,0
109,2025-06-01T00:09:00,26.7,38.8,65.9,55.29,138.07,3680,920,97.04,827,0.0557,65.1,225.68,869.64,0
110,2025-06-01T00:09:05,12.3,25.1,46.9,55.4,138.92,1762,881,34.68,1091,0.13,50.2,249.14,726.98,0
111,2025-06-01T00:09:10,32.5,33.7,93.4,55.08,138.44,339,113,9.77,1888,0.1056,73.7,245.81,769.75,0
112,2025-06-01T00:09:15,20.3,13.2,83.4,55.65,139.69,1600,320,38.64,1478,0.0591,79.7,57.01,57.26,0
113,2025-06-01T00:09:20,93.3,73.4,50.9,56.35,140.63,1494,747,136.14,130,0.042,32.7,282.63,352.74,0
114,2025-06-01T00:09:25,81.8,54.3,70.8,56.91,141.08,1834,917,17.37,224,0.1473,85.0,228.66,642.66,0
115,2025-06-01T00:09:30,65.2,18.5,57.6,56.94,142.36,3536,884,111.45,530,0.1645,63.4,253.2,229.69,0
116,2025-06-01T00:09:35,87.8,25.5,59.6,57.19,142.86,1686,562,30.14,960,0.0596,67.7,211.44,832.14,0
117,2025-06-01T00:09:40,81.3,19.2,34.4,57.32,143.45,112,56,39.94,807,0.0907,43.4,182.28,408.88,0
118,2025-06-01T00:09:45,22.7,65.1,47.3,57.49,144.44,884,442,79.22,1414,0.1456,30.7,211.17,801.29,0
119,2025-06-01T00:09:50,89.8,18.5,9.7,58.06,144.35,250,50,21.06,558,0.0992,91.9,140.03,876.27,0
120,2025-06-01T00:09:55,56.2,77.9,37.0,58.16,144.68,1240,310,35.47,1157,0.1926,90.3,164.45,476.02,0
121,2025-06-01T00:10:00,81.7,11.8,70.2,58.52,146.65,384,96,70.44,842,0.0346,80.3,228.11,227.96,0
122,2025-06-01T00:10:05,90.1,32.4,95.4,58.51,146.59,2751,917,66.6,1650,0.1723,60.8,216.91,381.72,0
123,2025-06-01T00:10:10,35.2,90.2,96.4,59.72,148.82,3308,827,150.11,1969,0.0682,50.6,198.38,499.9,0
124,2025-06-01T00:10:15,15.5,74.7,56.5,59.24,148.32,153,51,15.88,440,0.1405,40.1,62.3,455.84,0
125,2025-06-01T00:10:20,26.7,16.6,61.4,60.5,150.88,1752,584,172.23,938,0.0582,35.3,121.95,5.67,0
126,2025-06-01T00:10:25,45.6,83.9,20.2,61.64,152.96,2040,408,163.43,1460,0.1936,59.7,200.87,85.41,0
127,2025-06-01T00:10:30,82.7,54.4,70.1,61.77,155.06,2630,526,153.43,1293,0.0195,81.5,165.91,456.8,0
128,2025-06-01T00:10:35,86.8,86.2,8.9,62.17,154.89,1928,964,62.57,1269,0.1076,77.2,134.52,437.44,1
129,2025-06-01T00:10:40,5.7,64.1,29.9,63.12,157.81,2355,471,164.75,1841,0.183,79.1,229.26,890.15,0
130,2025-06-01T00:10:45,53.5,71.4,67.5,63.19,157.88,1728,864,37.38,1673,0.0993,37.7,146.76,277.42,0
131,2025-06-01T00:10:50,44.7,99.4,32.4,63.11,158.65,1290,645,25.76,419,0.1697,86.1,277.1,977.4,0
132,2025-06-01T00:10:55,26.1,30.9,6.9,63.48,158.36,506,253,9.95,1152,0.1905,82.3,182.92,972.55,0
133,2025-06-01T00:11:00,16.4,66.2,83.5,64.2,160.77,552,276,187.92,473,0.0229,36.1,170.88,189.25,0
134,2025-06-01T00:11:05,37.1,51.4,32.4,64.82,161.72,2991,997,62.29,470,0.1029,53.2,134.3,25.45,0
135,2025-06-01T00:11:10,94.6,13.6,8.2,65.46,163.78,1626,813,183.61,1133,0.1404,54.4,83.56,198.59,0
136,2025-06-01T00:11:15,35.7,11.3,9.3,66.23,164.65,1732,866,55.25,1908,0.1681,77.8,52.4,420.04,0
137,2025-06-01T00:11:20,54.3,20.7,26.7,66.67,166.7,400,200,181.61,515,0.041,85.9,219.22,368.06,0
138,2025-06-01T00:11:25,71.8,68.4,19.4,67.66,168.77,888,296,180.88,1056,0.1177,54.4,66.34,474.11,0
139,2025-06-01T00:11:30,39.5,61.0,77.9,68.81,171.93,3468,867,184.81,1238,0.041,38.5,131.26,692.14,0
140,2025-06-01T00:11:35,97.3,59.8,33.5,68.9,172.49,264,66,99.73,183,0.1535,35.4,268.91,518.55,0
141,2025-06-01T00:11:40,96.4,12.9,80.9,70.06,174.99,706,353,173.32,1716,0.0641,71.5,169.52,345.43,0
142,2025-06-01T00:11:45,28.9,52.2,19.0,71.23,177.65,3752,938,190.2,682,0.0611,62.4,270.84,676.03,0
143,2025-06-01T00:11:50,52.2,93.2,50.3,70.97,178.06,2815,563,65.6,982,0.1563,88.6,65.38,334.86,0
144,2025-06-01T00:11:55,33.6,45.8,69.4,71.75,179.05,1230,246,84.36,1179,0.17,92.0,260.85,353.31,0
145,2025-06-01T00:12:00,32.1,66.2,65.9,72.49,181.16,2475,495,144.13,1952,0.0752,88.4,282.87,343.89,0
146,2025-06-01T00:12:05,8.5,80.2,60.9,72.9,182.19,1950,390,60.77,970,0.1052,34.9,278.41,304.7,0
147,2025-06-01T00:12:10,62.9,80.6,92.6,73.25,183.39,2490,830,151.01,399,0.1418,48.5,134.13,700.81,0
148,2025-06-01T00:12:15,52.8,56.7,24.4,73.31,183.89,220,110,15.7,321,0.1516,45.5,73.78,175.81,0
149,2025-06-01T00:12:20,9.9,87.2,50.4,74.21,184.73,948,316,105.18,1033,0.1563,34.5,278.77,774.58,0
150,2025-06-01T00:12:25,31.5,45.2,88.6,74.29,185.45,438,146,25.34,1739,0.0842,89.7,89.34,922.65,0
151,2025-06-01T00:12:30,91.3,90.0,9.6,74.58,186.32,664,332,59.37,332,0.1119,88.2,186.5,277.0,1
152,2025-06-01T00:12:35,27.8,31.6,7.5,74.86,186.71,888,296,52.47,277,0.0308,55.4,151.86,704.37,0
153,2025-06-01T00:12:40,18.8,35.2,24.9,75.49,188.93,168,84,167.95,173,0.1902,92.3,289.46,604.38,0
154,2025-06-01T00:12:45,51.5,14.8,64.0,75.87,189.14,2505,835,39.51,1411,0.1433,66.6,153.99,300.23,0
155,2025-06-01T00:12:50,98.6,81.6,27.5,76.69,191.61,2072,518,161.88,988,0.0814,58.2,142.58,237.13,0
156,2025-06-01T00:12:55,28.0,47.5,20.6,77.29,193.89,468,117,159.0,1469,0.084,65.7,196.7,943.92,0
157,2025-06-01T00:13:00,68.9,30.6,47.0,78.3,194.5,1190,238,100.28,152,0.0272,57.4,181.94,697.41,0
158,2025-06-01T00:13:05,77.4,30.9,62.1,78.26,195.23,360,90,47.53,1555,0.0968,49.0,163.03,645.01,0
159,2025-06-01T00:13:10,27.6,91.1,26.4,78.16,196.15,3285,657,46.15,564,0.1379,41.8,175.65,996.95,0
160,2025-06-01T00:13:15,74.2,85.1,31.5,79.0,197.53,3660,732,93.52,868,0.191,59.9,74.61,354.0,0
161,2025-06-01T00:13:20,39.9,59.8,62.1,78.69,196.75,4970,994,2.75,1994,0.133,64.5,283.73,229.55,0
162,2025-06-01T00:13:25,65.1,65.4,94.7,79.57,198.48,2868,956,106.74,217,0.1336,83.4,112.59,330.44,0
163,2025-06-01T00:13:30,65.2,52.7,68.1,80.6,201.0,232,116,190.6,317,0.1594,60.8,192.53,170.98,0
164,2025-06-01T00:13:35,55.9,45.2,78.7,80.36,201.28,3984,996,31.79,1665,0.1069,83.9,58.87,925.05,0
165,2025-06-01T00:13:40,13.6,92.4,37.9,81.29,202.01,714,357,115.1,1900,0.0161,92.1,123.92,697.2,0
166,2025-06-01T00:13:45,84.4,21.3,28.7,82.15,205.31,672,168,192.39,719,0.1791,76.9,222.18,605.35,0
167,2025-06-01T00:13:50,35.5,47.7,46.5,83.09,207.77,3608,902,172.24,900,0.0865,37.8,164.34,806.76,0
168,2025-06-01T00:13:55,22.7,41.0,81.1,84.16,209.47,2196,732,170.23,381,0.1971,60.0,232.54,516.33,0
169,2025-06-01T00:14:00,8.9,54.8,46.7,84.55,211.19,940,235,164.55,1421,0.0872,85.7,88.85,191.58,0
170,2025-06-01T00:14:05,61.1,51.2,85.0,84.76,212.12,238,119,62.5,813,0.137,62.0,297.02,155.1,0
171,2025-06-01T00:14:10,69.4,56.7,98.9,85.62,215.04,1612,806,178.23,1421,0.0974,82.7,161.43,523.11,0
172,2025-06-01T00:14:15,6.6,22.6,9.1,86.58,217.13,3896,974,188.33,707,0.0542,80.4,184.7,805.66,0
173,2025-06-01T00:14:20,53.6,56.2,6.5,87.23,218.3,1440,720,99.66,1162,0.1868,40.4,114.4,222.43,0
174,2025-06-01T00:14:25,26.5,31.8,16.7,87.67,219.11,1665,333,71.56,1440,0.1292,51.4,134.79,705.21,0
175,2025-06-01T00:14:30,66.3,26.6,39.7,88.07,219.84,1336,668,83.43,1883,0.0956,79.7,213.65,250.55,0
176,2025-06-01T00:14:35,21.6,15.8,14.8,88.52,220.83,4975,995,67.51,1426,0.0374,40.3,135.43,433.39,0
177,2025-06-01T00:14:40,70.6,78.6,87.3,88.57,221.4,2985,597,43.27,1037,0.1998,57.5,229.64,62.09,0
178,2025-06-01T00:14:45,41.7,48.5,4.3,89.48,223.14,794,397,124.07,915,0.1801,38.9,121.46,503.74,0
179,2025-06-01T00:14:50,94.0,66.4,32.9,89.7,224.84,4820,964,112.96,1875,0.0903,45.3,241.36,170.11,0
180,2025-06-01T00:14:55,18.1,75.5,20.1,90.77,225.89,488,244,93.05,279,0.0426,48.6,218.74,844.45,0
181,2025-06-01T00:15:00,37.4,71.1,93.3,90.45,225.38,1658,829,20.07,1284,0.0156,64.5,103.03,957.42,0
182,2025-06-01T00:15:05,15.8,52.3,67.6,90.95,227.87,2132,533,159.58,1278,0.0388,89.3,62.51,84.78,0
183,2025-06-01T00:15:10,92.8,44.9,91.4,91.08,228.47,1274,637,35.81,1280,0.1115,55.1,282.55,534.27,0
184,2025-06-01T00:15:15,88.3,43.8,97.3,91.51,228.73,658,329,23.8,1845,0.165,85.2,108.8,704.42,0
185,2025-06-01T00:15:20,29.5,67.6,50.7,92.0,229.92,3528,882,124.99,483,0.0791,75.2,194.3,66.27,0
186,2025-06-01T00:15:25,67.7,54.5,25.0,92.59,231.99,1191,397,80.33,966,0.0925,80.7,124.46,554.12,0
187,2025-06-01T00:15:30,82.6,86.4,21.0,92.6,230.89,1282,641,12.9,1746,0.0999,79.5,214.55,936.76,1
188,2025-06-01T00:15:35,57.7,88.7,23.8,92.85,231.84,2898,966,71.76,383,0.0133,49.6,225.31,527.0,0
189,2025-06-01T00:15:40,55.3,25.4,71.4,93.47,234.17,1581,527,154.58,1901,0.0436,45.4,68.58,621.38,0
190,2025-06-01T00:15:45,28.0,22.3,6.0,93.95,236.28,588,147,123.43,550,0.1052,93.5,62.5,328.25,0
191,2025-06-01T00:15:50,13.8,66.7,7.0,94.53,236.31,993,331,73.19,461,0.0631,78.0,297.69,615.53,0
192,2025-06-01T00:15:55,90.2,37.1,61.6,94.99,236.97,2037,679,39.17,576,0.1094,53.8,242.01,888.12,0
193,2025-06-01T00:16:00,90.5,11.7,64.9,95.5,238.96,2340,468,126.73,1267,0.0305,66.0,115.4,330.01,0
194,2025-06-01T00:16:05,65.1,90.0,67.2,96.09,240.85,816,272,177.62,199,0.1625,80.4,172.84,772.44,0
195,2025-06-01T00:16:10,37.2,30.4,38.4,97.02,242.37,1204,301,129.61,356,0.1589,33.6,289.5,571.11,0
196,2025-06-01T00:16:15,38.2,93.6,81.0,97.88,244.68,258,129,162.77,1753,0.1373,36.4,185.97,257.98,0
197,2025-06-01T00:16:20,74.0,74.6,54.3,98.15,245.9,4375,875,104.78,1461,0.111,31.6,154.82,391.99,0
198,2025-06-01T00:16:25,90.2,78.6,12.3,99.08,247.93,2924,731,143.88,487,0.0841,40.7,59.39,358.57,0
199,2025-06-01T00:16:30,89.3,28.1,80.1,99.96,250.25,1848,462,179.35,1848,0.1397,37.8,196.2,468.96,0
200,2025-06-01T00:16:35,79.1,31.1,95.4,100.49,251.89,3590,718,154.86,231,0.1585,60.1,270.41,113.66,0
201,2025-06-01T00:16:40,66.0,56.9,7.9,101.7,254.16,2210,442,182.06,726,0.1636,48.7,185.7,151.72,0
202,2025-06-01T00:16:45,13.0,25.5,40.4,102.17,255.22,1532,383,86.8,503,0.076,33.0,245.45,379.06,0
203,2025-06-01T00:16:50,20.4,37.5,49.8,103.18,257.56,1876,938,180.94,418,0.0469,59.2,271.49,562.39,0
204,2025-06-01T00:16:55,90.4,38.9,16.4,103.8,258.99,1131,377,124.69,566,0.0749,67.6,151.83,618.33,0
205,2025-06-01T00:17:00,62.6,24.4,87.0,104.19,261.15,102,51,174.14,902,0.0115,54.1,152.9,910.47,0
206,2025-06-01T00:17:05,5.9,28.5,29.8,104.32,261.62,756,252,8.84,215,0.0904,46.9,280.35,569.35,0
207,2025-06-01T00:17:10,14.6,81.0,78.7,105.27,263.37,614,307,131.91,912,0.062,55.4,135.15,730.06,0
208,2025-06-01T00:17:15,68.0,25.0,67.8,106.12,264.58,4060,812,169.75,1180,0.1601,63.8,215.38,482.24,0
209,2025-06-01T00:17:20,5.5,12.6,60.6,106.29,265.48,2080,416,35.67,1500,0.1382,58.3,204.97,523.84,0
210,2025-06-01T00:17:25,20.3,66.6,20.8,107.63,266.93,975,195,132.7,763,0.0149,36.1,171.29,590.33,0
211,2025-06-01T00:17:30,57.1,97.8,23.6,107.8,269.11,3544,886,165.17,375,0.0374,59.7,210.5,522.61,0
212,2025-06-01T00:17:35,70.7,39.8,6.6,108.2,270.05,1708,427,58.3,597,0.113,76.8,225.79,310.12,0
